LADO;NFC;QR
ESTE;282119927;01100403501
ESTE;299521799;01100403502
ESTE;438411464;01100403601
ESTE;445151432;01100403602
ESTE;702758490;01100403701
ESTE;597969435;01100403702
ESTE;948098632;01100406401
ESTE;944129368;01100406402
ESTE;863981673;01100406601
ESTE;620015413;01100406602
ESTE;823547753;01100406701
ESTE;832295241;01100406702
ESTE;619288389;01100406801
ESTE;619333173;01100406802
ESTE;455956473;01100406901
ESTE;453201641;01100406902
ESTE;495312566;01100407001
ESTE;499389110;01100407002
ESTE;502833830;01100407101
ESTE;495229110;01100407102
ESTE;438010824;01100407201
ESTE;447558088;01100407202
ESTE;183064199;01100407301
ESTE;828250729;01100407302
ESTE;452414152;01100407401
ESTE;442851272;01100407402
ESTE;697360666;01100407501
ESTE;586860027;01100407502
ESTE;861601577;01100407601
ESTE;859765561;01100407602
ESTE;437009096;01100407701
ESTE;436648648;01100407702
ESTE;832327257;01100407801
ESTE;799796584;01100407802
ESTE;833225849;01100407901
ESTE;823174489;01100407902
ESTE;823717721;01100408001
ESTE;829128793;01100408002
ESTE;711657652;01100408101
ESTE;597581989;01100408102
ESTE;468870377;01100408201
ESTE;279799287;01100408202
ESTE;452603080;01100408301
ESTE;446848200;01100408302
ESTE;693062234;01100408401
ESTE;692762186;01100408402
ESTE;452707768;01100408501
ESTE;447372744;01100408502
ESTE;449478600;01100408601
ESTE;443037896;01100408602
ESTE;442131912;01100408701
ESTE;450132680;01100408702
ESTE;714140580;01100408801
ESTE;717012116;01100408802
ESTE;486539990;01100408901
ESTE;498647990;01100408902
ESTE;440574904;01100409001
ESTE;447980472;01100409002
ESTE;716415892;01100409101
ESTE;707205028;01100409102
ESTE;495237318;01100409301
ESTE;489160374;01100409302
ESTE;269681607;01100409401
ESTE;281014951;01100409402
ESTE;442530504;01100409501
ESTE;445611976;01100409502
ESTE;711310996;01100409701
ESTE;710193828;01100409702
ESTE;460801017;01100409801
ESTE;466757625;01100409802
ESTE;168970919;01100409901
ESTE;423396454;01100409902
ESTE;689500117;01100410001
ESTE;842329096;01100410002
OESTE;299810055;0220502019
OESTE;504315046;01200102601
OESTE;504092582;01200102602
OESTE;262283223;01200108801
OESTE;931724104;01200108802
OESTE;675287029;01200320501
OESTE;674066661;01200320502
OESTE;711331748;01200322501
OESTE;949496664;01200322502
OESTE;985337866;01200433101
OESTE;983916810;01200433102
OESTE;512794806;01200106401
OESTE;514449830;01200106402
OESTE;507539126;01200209201
OESTE;507229110;01200209202
OESTE;697985013;01200209301
OESTE;512868022;01200209302
OESTE;508340918;01200212901
OESTE;505307302;01200212902
OESTE;505403046;01200213201
OESTE;506174390;01200213202
OESTE;503475894;01200427901
OESTE;510086310;01200427902
OESTE;513960870;01200435201
OESTE;710304533;01200435202
OESTE;255664295;01200435203
OESTE;299223047;01200107101
OESTE;944737128;01200107102
OESTE;947548776;01200107201
OESTE;283434999;01200107202
OESTE;588734629;01200429101
OESTE;271546103;01200429102
OESTE;;0220305070
OESTE;709860004;01200325401
OESTE;705078164;01200325402
OESTE;713810580;01200325701
OESTE;714742692;01200325702
OESTE;713750805;01200434101
OESTE;253995719;01200434102
OESTE;;0220214014
OESTE;570596347;01200215401
